C,gamma,kernel,roc_auc, F1,recall,precision
3000,0.01,sigmoid,0.624,0.271,0.613,0.174
10,0.01,sigmoid,0.623,0.268,0.62,0.171
10,0.01,sigmoid,0.623,0.268,0.62,0.171
1,auto,sigmoid,0.623,0.269,0.62,0.172
1,auto,sigmoid,0.623,0.269,0.62,0.172
1,auto,sigmoid,0.623,0.269,0.62,0.172
1,auto,sigmoid,0.623,0.269,0.62,0.172
2000,scale,sigmoid,0.623,0.269,0.62,0.172
2000,scale,sigmoid,0.623,0.269,0.62,0.172
100,0.01,sigmoid,0.623,0.269,0.616,0.172
100,0.01,sigmoid,0.623,0.269,0.616,0.172
1200,scale,sigmoid,0.623,0.269,0.616,0.172
1200,scale,sigmoid,0.623,0.269,0.616,0.172
1000,0.1,sigmoid,0.622,0.266,0.648,0.167
1000,0.1,sigmoid,0.622,0.266,0.648,0.167
100,0.1,sigmoid,0.622,0.266,0.637,0.168
100,0.1,sigmoid,0.622,0.266,0.637,0.168
1500,auto,sigmoid,0.622,0.268,0.616,0.171
1500,auto,sigmoid,0.622,0.268,0.616,0.171
1500,auto,sigmoid,0.622,0.268,0.616,0.171
1500,auto,sigmoid,0.622,0.268,0.616,0.171
1000,auto,sigmoid,0.621,0.267,0.616,0.171
1000,auto,sigmoid,0.621,0.267,0.616,0.171
1000,auto,sigmoid,0.621,0.267,0.616,0.171
1000,auto,sigmoid,0.621,0.267,0.616,0.171
1500,scale,sigmoid,0.621,0.268,0.616,0.171
1500,scale,sigmoid,0.621,0.268,0.616,0.171
10,auto,sigmoid,0.62,0.266,0.623,0.169
10,auto,sigmoid,0.62,0.266,0.623,0.169
10,auto,sigmoid,0.62,0.266,0.623,0.169
10,auto,sigmoid,0.62,0.266,0.623,0.169
1200,0.1,sigmoid,0.619,0.263,0.644,0.165
1200,0.1,sigmoid,0.619,0.263,0.644,0.165
2000,0.01,sigmoid,0.619,0.266,0.613,0.17
2000,0.01,sigmoid,0.619,0.266,0.613,0.17
1400,scale,sigmoid,0.619,0.266,0.613,0.17
1400,scale,sigmoid,0.619,0.266,0.613,0.17
1200,0.01,sigmoid,0.618,0.265,0.613,0.169
1200,0.01,sigmoid,0.618,0.265,0.613,0.169
1,scale,sigmoid,0.618,0.265,0.609,0.169
1,scale,sigmoid,0.618,0.265,0.609,0.169
10,0.1,sigmoid,0.617,0.263,0.634,0.166
10,0.1,sigmoid,0.617,0.263,0.634,0.166
2000,auto,sigmoid,0.616,0.264,0.609,0.168
2000,auto,sigmoid,0.616,0.264,0.609,0.168
2000,auto,sigmoid,0.616,0.264,0.609,0.168
2000,auto,sigmoid,0.616,0.264,0.609,0.168
1300,auto,sigmoid,0.616,0.264,0.606,0.168
1300,auto,sigmoid,0.616,0.264,0.606,0.168
1300,auto,sigmoid,0.616,0.264,0.606,0.168
1300,auto,sigmoid,0.616,0.264,0.606,0.168
0.1,1.00E-06,rbf,0.616,0.321,0.31,0.332
0.1,1.00E-06,sigmoid,0.616,0.321,0.31,0.332
0.1,1.00E-05,sigmoid,0.616,0.321,0.31,0.332
0.1,1.00E-05,sigmoid,0.616,0.321,0.31,0.332
100,auto,sigmoid,0.615,0.262,0.606,0.167
100,auto,sigmoid,0.615,0.262,0.606,0.167
100,auto,sigmoid,0.615,0.262,0.606,0.167
100,auto,sigmoid,0.615,0.262,0.606,0.167
2000,0.1,sigmoid,0.613,0.259,0.634,0.162
2000,0.1,sigmoid,0.613,0.259,0.634,0.162
1200,auto,sigmoid,0.613,0.261,0.606,0.166
1200,auto,sigmoid,0.613,0.261,0.606,0.166
1200,auto,sigmoid,0.613,0.261,0.606,0.166
1200,auto,sigmoid,0.613,0.261,0.606,0.166
3000,0.1,sigmoid,0.612,0.258,0.637,0.162
